Last,First,Email,Year,Majors,Minors,GECs,Advisor
Beeham,Zoowee,zbeeham@bates.edu,2026,"ECON,MATH",DCS,,"Lawson, Barry"
Beeman,Peaster,pbeeman@bates.edu,2026,"BIOC,MATH",DCS,,"Lawson, Barry"
Blubberworth,Zoowee,zblubber@bates.edu,2026,ECON,"GER,DCS",C019,"Lawson, Barry"
Boogerfeet,Bittyspitz,bboogerf@bates.edu,2026,ECON,DCS,,"Lawson, Barry"
Boombag,Buzzlu,bboombag@bates.edu,2026,MUS,DCS,,"Lawson, Barry"
Chewface,Wormbag,wchewfac@bates.edu,2026,ENVR,DCS,,"Lawson, Barry"
Doodoofish,Peafy,pdoodoof@bates.edu,2026,SOC,DCS,,"Lawson, Barry"
Doodoohill,Bugby,bdoodooh@bates.edu,2026,"MATH,ECON",DCS,,"Lawson, Barry"
Doozyton,Subo,sdoozyto@bates.edu,2026,ENVR,DCS,,"Lawson, Barry"
FudgeSmittens,Bittymoo,bfudgesm@bates.edu,2026,PLTC,DCS,C014,"Shrout, Anelise"
Fudgehill,Peamoo,pfudgehi@bates.edu,2026,PLTC,DCS,,"Shrout, Anelise"
Fudgewhistle,Flapberry,ffudgewh@bates.edu,2026,ECON,DCS,,"Eaton, Carrie"
Gloomkins,Flufffy,fgloomki@bates.edu,2026,NRSC,DCS,,"Eaton, Carrie"
Goatbottom,Stinkwee,sgoatbot@bates.edu,2026,ECON,DCS,,"Lawson, Barry"
HoboSmittens,Eggster,ehobosmi@bates.edu,2026,"PHIL,ECON",DCS,,"Eaton, Carrie"
Hoboworth,Snoobuns,shobowor@bates.edu,2026,ENVR,DCS,,"Shrout, Anelise"
Hooperbottom,Gummoo,ghooperb@bates.edu,2026,HIST,DCS,,"Shrout, Anelise"
Madborn,Snortu,smadborn@bates.edu,2026,PLTC,DCS,"C013,C037,C091","Eaton, Carrie"
Madworthy,Borebo,bmadwort@bates.edu,2026,PHYS,DCS,,"Lawson, Barry"
Messyhall,Trashbug,tmessyha@bates.edu,2026,BIO,DCS,,"Eaton, Carrie"
Messyrider,Bittypants,bmessyri@bates.edu,2026,SOC,DCS,C091,"Lawson, Barry"
Moanigold,Binfy,bmoanigo@bates.edu,2026,NRSC,DCS,,"Lawson, Barry"
Moanihill,Peahboo,pmoanihi@bates.edu,2026,"PSYC,MATH",DCS,,"Shrout, Anelise"
Moonbean,Dingbs,dmoonbea@bates.edu,2026,PHYS,DCS,,"Lawson, Barry"
Moongold,Bincan,bmoongol@bates.edu,2026,MATH,DCS,,"Shrout, Anelise"
Noodlefeet,Binpants,bnoodlef@bates.edu,2026,PSYC,DCS,,"Lawson, Barry"
Noodleworthy,Bugcan,bnoodlew@bates.edu,2026,PHIL,DCS,,"Shrout, Anelise"
Noseson,Bugbee,bnoseson@bates.edu,2026,ECON,DCS,,"Shrout, Anelise"
PimpleFadden,Fartmoo,fpimplef@bates.edu,2026,NRSC,"DCS,MATH",C086,"Lawson, Barry"
Pimplehair,Peawee,ppimpleh@bates.edu,2026,NRSC,DCS,,"Eaton, Carrie"
Pimpleson,Bugbs,bpimples@bates.edu,2026,MATH,DCS,,"Lawson, Barry"
Pottyman,Fuzzman,fpottyma@bates.edu,2026,ECON,DCS,,"Eaton, Carrie"
Pukeseed,Sniffwax,spukesee@bates.edu,2026,AVC,"MATH,DCS",,"Lawson, Barry"
Roachseed,Dingbo,droachse@bates.edu,2026,PSYC,DCS,,"Lawson, Barry"
Roachshine,Eggbo,eroachsh@bates.edu,2026,MATH,"EDUC,DCS",,"Eaton, Carrie"
Snothall,Eggpants,esnothal@bates.edu,2026,ECON,"DCS,PHIL",,"Lawson, Barry"
Snotseed,Madaloo,msnotsee@bates.edu,2026,"ECON,MATH",DCS,,"Eaton, Carrie"
